Name,Platform,Year,Genre,Publisher
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,PS2,2004,Adventure,Disney Interactive Studios
Iron Storm,SAT,1995,Shooter,Sega
Battalion Wars 2,Wii,2007,Strategy,Nintendo
MotorStorm: Arctic Edge,PS2,2009,Racing,Sony Computer Entertainment
The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,THQ
Marvel Super Heroes,PS,1997,Fighting,Virgin Interactive
Super Bust-A-Move,PS2,2000,Puzzle,Acclaim Entertainment
Hitman: Contracts,XB,2004,Shooter,Eidos Interactive
Supreme Commander 2,X360,2010,Strategy,Square Enix
Thunderstrike: Operation Phoenix,PS2,2001,Simulation,Eidos Interactive
Frostbite,2600,1983,Action,Activision
Alien's Return,2600,1982,Action,ITT Family Games
Mario & Sonic at the Rio 2016 Olympic Games,WiiU,2016,Action,Nintendo
Avatar: The Last Airbender - The Burning Earth,DS,2007,Action,THQ
Racquet Sports,PS3,2010,Sports,Ubisoft
Company of Heroes 2,PC,2013,Strategy,THQ
Trauma Center: Second Opinion,Wii,2006,Simulation,Nintendo
DanceDanceRevolution,Wii,2010,Simulation,Konami Digital Entertainment
WWE Day of Reckoning 2,GC,2005,Fighting,THQ
NBA 2K12,Wii,2011,Sports,Take-Two Interactive
The Urbz: Sims in the City,XB,2004,Simulation,Electronic Arts
Fantastic Voyage,2600,1981,Action,20th Century Fox Video Games
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,PS3,2010,Sports,Sega
Night Warriors: Darkstalkers' Revenge,SAT,1995,Fighting,Virgin Interactive
Rayman Legends,XOne,2014,Platform,Ubisoft
SpongeBob SquarePants: The Yellow Avenger,DS,2005,Action,THQ
Monopoly,PS3,2008,Misc,Electronic Arts
SimCity Creator,DS,2008,Simulation,Electronic Arts
Off Road Challenge,N64,1998,Racing,GT Interactive
Tenchu Z,X360,2006,Action,Microsoft Game Studios
Bank Heist,2600,1982,Action,20th Century Fox Video Games
Conan,PS3,2007,Action,THQ
Backstreet Billiards,PS,1998,Misc,ASCII Entertainment
Carnival,2600,1981,Shooter,Coleco
Leisure Suit Larry: Magna Cum Laude,PS2,2004,Adventure,Vivendi Games
MVP 06 NCAA Baseball,XB,2006,Sports,Electronic Arts
Naruto Shippuden: Ultimate Ninja Impact,PSP,2011,Fighting,Namco Bandai Games
Momotarou Dentetsu DS: Tokyo & Japan,DS,2007,Misc,Hudson Soft
Point Blank,PS,1997,Shooter,Sony Computer Entertainment
Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios
Speed Racer: The Videogame,DS,2008,Racing,Warner Bros. Interactive Entertainment
F.E.A.R.,X360,2006,Shooter,Vivendi Games
Tiny Tank,PS,1998,Action,Sony Computer Entertainment
Yu-Gi-Oh! 5D's Tag Force 5,PSP,2010,Strategy,Konami Digital Entertainment
Tom Clancy's Ghost Recon: Shadow Wars,3DS,2011,Strategy,Ubisoft
Smart Girl's Party Game,DS,2008,Misc,505 Games
Spy Hunter,XB,2002,Racing,Midway Games
James Bond 007: Legends,PS3,2012,Shooter,Activision
The Sims 3: Town Life Stuff,PC,2011,Simulation,Electronic Arts
Herbie: Fully Loaded,GBA,2005,Racing,Disney Interactive Studios
Teenage Mutant Ninja Turtles,GC,2003,Action,Konami Digital Entertainment
Kameo: Elements of Power,X360,2005,Action,Microsoft Game Studios
Football Manager Handheld 2008,PSP,2007,Sports,Sega
Dynasty Warriors 6 Empires,PS3,2009,Action,Tecmo Koei
The Shoot,PS3,2010,Shooter,Sony Computer Entertainment
Disney Sing It: Pop Hits,PS2,2009,Misc,Disney Interactive Studios
Dead or Alive 5,PS4,2015,Fighting,Tecmo Koei
My Baby Boy,DS,2008,Simulation,Nobilis
Puzzle Quest: Challenge of the Warlords,DS,2007,Puzzle,D3Publisher
Dynasty Warriors: Gundam 2,PS2,2008,Action,Namco Bandai Games
Star Ocean: Second Evolution,PSP,2008,Role-Playing,Square Enix
Imagine: Movie Star,DS,2008,Simulation,Ubisoft
Fade to Black,PS,1996,Action,Electronic Arts
MXRider,PS2,2001,Racing,Atari
Disney Magic World 2,3DS,2015,Action,Nintendo
Delta Force: Black Hawk Down,XB,2005,Shooter,NovaLogic
Pirates of the Caribbean: At World's End,X360,2007,Action,Disney Interactive Studios
Angry Birds Star Wars,3DS,2013,Strategy,Activision
World Championship Poker 2: Featuring Howard Lederer,PS2,2005,Misc,Oxygen Interactive
The Eye of Judgment,PS3,2007,Misc,Sony Computer Entertainment
Sengoku Musou 3 Z,PS3,2011,Action,Ackkstudios
Tom Clancy's Ghost Recon Advanced Warfighter,XB,2006,Shooter,Ubisoft
Iron Man 2,DS,2010,Action,Sega
Tokyo Highway Battle,PS,1996,Racing,Jaleco
NHL 09,PS3,2008,Sports,Electronic Arts
World of Final Fantasy,PS4,2016,Role-Playing,Square Enix
Beyond Good & Evil,PS2,2003,Adventure,Ubisoft
Banjo-Kazooie: Grunty's Revenge,GBA,2003,Platform,THQ
Bomberman World,PS,1998,Puzzle,Sony Computer Entertainment
Bejeweled 3,DS,N/A,Puzzle,Unknown
NHL 17,PS4,2016,Sports,Electronic Arts
Mega Man ZX Advent,DS,2007,Platform,Capcom
Transformers: Revenge of the Fallen (DS Versions),DS,2009,Action,Activision
NCAA Basketball 10,PS3,2009,Sports,Electronic Arts
Star Ocean 5: Integrity and Faithlessness,PS4,2016,Role-Playing,Square Enix
Jeanne d'Arc,PSP,2006,Role-Playing,Sony Computer Entertainment
Deathtrap Dungeon,PS,1998,Action,Eidos Interactive
Tales of the World: Radiant Mythology 2,PSP,2009,Role-Playing,Namco Bandai Games
Night at the Museum: Battle of the Smithsonian,DS,2009,Action,Majesco Entertainment
Harry Potter and the Deathly Hallows - Part 2,X360,2011,Action,Electronic Arts
Avatar: The Last Airbender,DS,2006,Adventure,THQ
Ape Escape Academy,PSP,2004,Misc,Sony Computer Entertainment
WWE Wrestlemania XIX,GC,2003,Fighting,THQ
The Sims 2,GC,2005,Simulation,Electronic Arts
Hulk,XB,2003,Action,Universal Interactive
Untold Legends: The Warriors Code,PSP,2006,Role-Playing,Ubisoft
Klonoa 2: Lunatea's Veil,PS2,2001,Platform,Sony Computer Entertainment
Deus Ex: Invisible War,XB,2003,Shooter,Eidos Interactive
Disney's Treasure Planet,PS2,2002,Action,Sony Computer Entertainment
NASCAR Thunder 2002,XB,2001,Racing,Electronic Arts
The King of Fighters XIII,X360,2011,Fighting,Rising Star Games
BeatMania Append GottaMix,PS,1999,Simulation,Konami Digital Entertainment
Tak 2: The Staff of Dreams,GC,2004,Platform,THQ
Fracture,X360,2008,Shooter,LucasArts
Ninja Blade,X360,2009,Action,Microsoft Game Studios
Bookworm,DS,2009,Puzzle,PopCap Games
LEGO Batman 2: DC Super Heroes,PSV,2012,Action,Warner Bros. Interactive Entertainment
Bee Movie Game,Wii,2007,Action,Activision
Kelly Slater's Pro Surfer,PS2,2002,Sports,Activision
Sniper: Ghost Warrior 2,PS3,2013,Shooter,City Interactive
Shrek SuperSlam,GBA,2005,Action,Activision
Legends of Wrestling II,PS2,2002,Fighting,Acclaim Entertainment
World Stadium 3,PS,1999,Sports,Namco Bandai Games
LEGO Pirates of the Caribbean: The Video Game,PSP,2011,Action,Disney Interactive Studios
Extra Bases,GB,1990,Sports,Namco Bandai Games
Super Power League 2,SNES,1994,Sports,Hudson Soft
Virtua Tennis 2009,X360,2009,Sports,Sega
Street Fighter Alpha 3 MAX,PSP,2006,Fighting,Capcom
MLB 09: The Show,PS2,2009,Sports,Sony Computer Entertainment
Cool Boarders 2001,PS2,2001,Sports,Sony Computer Entertainment
Hell's Kitchen: The Game,Wii,2008,Simulation,Ubisoft
Classic NES Series: Castlevania,GBA,2004,Platform,Nintendo
Scooby-Doo! First Frights,PS2,2009,Action,Warner Bros. Interactive Entertainment
Fight Night Round 3,XB,2006,Fighting,Electronic Arts
GT Advance Championship Racing,GBA,2001,Racing,THQ
Way of the Samurai 2,PS2,2003,Action,Capcom
Planet Puzzle League,DS,2007,Puzzle,Nintendo
BattleTanx,N64,1998,Action,3DO
Custom Robo,N64,N/A,Role-Playing,Nintendo
Naruto: Rise of a Ninja,X360,2007,Action,Ubisoft
Cabela's Dangerous Hunts 2011,PS3,2010,Sports,Activision
Hatsune Miku: Project Diva Extend,PSP,2011,Misc,Sega
Pitfall 3D: Beyond the Jungle,PS,1998,Platform,Activision
Disgaea 2: Cursed Memories,PS2,2006,Role-Playing,Tecmo Koei
Clock Tower 3,PS2,2002,Adventure,Capcom
Battle Dodge Ball,SNES,1991,Sports,Banpresto
Etrian Odyssey,DS,2007,Role-Playing,Nintendo
Call Of Duty 2: Big Red One,GC,2005,Shooter,Activision
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games
Night at the Museum: Battle of the Smithsonian,Wii,2009,Action,Majesco Entertainment
Disgaea: Hour of Darkness,PS2,2003,Role-Playing,Tecmo Koei
NeoGeo Battle Coliseum,PS2,2005,Fighting,Ignition Entertainment
Resonance of Fate,X360,2010,Role-Playing,Sega
Harry Potter and the Deathly Hallows - Part 2,Wii,2011,Action,Electronic Arts
We Sing Deutsche Hits,Wii,2011,Misc,Nordic Games
SpongeBob SquarePants: Creature from the Krusty Krab,GC,2006,Platform,THQ
MLB 08: The Show,PSP,2008,Sports,Sony Computer Entertainment
Parodius,PS,1994,Shooter,Konami Digital Entertainment
The X-Factor,Wii,2010,Misc,Deep Silver
Spy Kids 3-D: Game Over,GBA,2003,Platform,Disney Interactive Studios
Sakura Wars 3: Paris wa Moeteiru ka,DC,2001,Adventure,Sega
Capcom Classics Collection Reloaded,PSP,2006,Misc,Capcom
NCAA GameBreaker 2001,PS,2000,Sports,Sony Computer Entertainment
Power Rangers: Ninja Storm,GBA,2003,Misc,THQ
Naruto: Gekito Ninja Taisen! 4,GC,2005,Fighting,Tomy Corporation
Medal of Honor: Warfighter,PC,2012,Action,Electronic Arts
Kidou Senshi Gundam F91: Formula Senki 0122,SNES,1991,Strategy,Namco Bandai Games
MVP Baseball 2005,GC,2005,Sports,Electronic Arts
Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Kounin: KanKen DS 2 + Jouyou Kanji Jiten,DS,2007,Misc,Rocket Company
SSX Blur,Wii,2007,Sports,Electronic Arts
DX Game of Life 2,PS,1997,Misc,Takara
Danganronpa: Trigger Happy Havoc,PSV,2013,Misc,Nippon Ichi Software
NBA Live 96,PS,1996,Sports,Electronic Arts
Harry Potter and the Half-Blood Prince,PS3,2009,Action,Electronic Arts
Alien: Isolation,PS3,2014,Shooter,Sega
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007,Action,Tecmo Koei
Teen Titans,GC,2006,Action,THQ
Def Jam Rapstar,Wii,2010,Misc,Konami Digital Entertainment
MX vs. ATV Untamed,Wii,2008,Racing,THQ
Frogger II: Threeedeep!,2600,1983,Action,Parker Bros.
Binary Domain,PS3,2012,Action,Sega
NBA Live 06,GC,2005,Sports,Electronic Arts
Fireball,2600,1981,Action,Starpath Corp.
Dr. Mario / Puzzle League,GBA,2005,Puzzle,Nintendo
Family Party: 90 Great Games Party Pack,Wii,2010,Misc,D3Publisher
DECA Sports Freedom,X360,2010,Sports,Hudson Soft
Shin Nippon Pro Wrestling: Toukon Retsuden,PS,1995,Fighting,Tomy Corporation
NBA 2K10,PSP,2009,Sports,Take-Two Interactive
Major League Baseball 2K6,XB,2006,Sports,Take-Two Interactive
Golden Axe: Beast Rider,X360,2008,Action,Sega
Pinball Hall of Fame: The Gottlieb Collection,PS2,2004,Misc,Play It
EA Playground,DS,2007,Sports,Electronic Arts
Buzz! The Ultimate Music Quiz,PS3,2010,Misc,Sony Computer Entertainment
Discovery Kids: Puppy Playtime,DS,2009,Simulation,505 Games
The Witcher: Enhanced Edition,PC,2008,Role-Playing,Atari
Teenage Mutant Ninja Turtles 2: Battle Nexus,GBA,2004,Action,Konami Digital Entertainment
Nicktoons: Movin',PS2,2004,Action,THQ
Mystery Case Files: The Malgrave Incident,Wii,2011,Adventure,Nintendo
Chicken Riot,Wii,2010,Action,City Interactive
One Piece: Romance Dawn - Bouken no Yoake,PSP,2012,Fighting,Namco Bandai Games
Might & Magic Heroes VI,PC,2011,Role-Playing,Ubisoft
Iron Man 2,Wii,2010,Action,Sega
SWAT: Global Strike Team,PS2,2003,Shooter,Vivendi Games
NCAA Basketball 10,X360,2009,Sports,Electronic Arts
Championship Bass,PS,1999,Sports,Electronic Arts
The Adventures of Tintin: The Game,Wii,2011,Action,Ubisoft
Battlestations: Pacific,X360,2009,Strategy,Eidos Interactive
Elebits,Wii,2006,Action,Konami Digital Entertainment
Style Lab: Jewelry Design,DS,2009,Simulation,Ubisoft
Def Jam Rapstar,PS3,2010,Misc,Konami Digital Entertainment
Hatsune Miku: Project Mirai DX,3DS,2015,Misc,Sega
Just Dance 2016,XOne,2015,Misc,Ubisoft
Golden Axe: Beast Rider,PS3,2008,Action,Sega
Dead Space 2,PC,2011,Shooter,Electronic Arts
NHL Breakaway 98,N64,1998,Sports,Acclaim Entertainment
Momotarou Dentetsu 20-Shuunen,DS,2008,Misc,Hudson Soft
Bratz: Girlz Really Rock,DS,2008,Action,THQ
Minute to Win It,X360,2011,Misc,Zoo Games
Kinetica,PS2,2001,Racing,Sony Computer Entertainment
The Black Eyed Peas Experience,X360,2011,Misc,Ubisoft
NBA Street V3,XB,2005,Sports,Electronic Arts
Bust-A-Move '99,PS,1997,Puzzle,Acclaim Entertainment
Dragon Quest Monsters 1·2,PS,2002,Role-Playing,Enix Corporation
Marvel: Ultimate Alliance 2,Wii,2009,Role-Playing,Activision
Remember Me,PS3,2013,Action,Capcom
Silent Hill: Downpour,X360,2012,Action,Konami Digital Entertainment
OverBlood,PS,1996,Action,Electronic Arts
Dead Rising 2: Off the Record,PS3,2011,Action,Capcom
ESPN X-Games Pro Boarder,PS,1997,Sports,Sony Computer Entertainment
Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games
Eternal Sonata,X360,2007,Role-Playing,Atari
Harvest Moon: Back to Nature,PS,1999,Simulation,Ubisoft
Dead or Alive 5,X360,2012,Fighting,Ubisoft Annecy
Naruto: Ultimate Ninja (JP sales),PS2,2003,Fighting,Atari
Final Fantasy XI,PS2,N/A,Role-Playing,Unknown
Dragon Ball Heroes: Ultimate Mission 2,3DS,2014,Strategy,Namco Bandai Games
Overlord II,X360,2009,Action,Codemasters
Madden NFL 09,DS,2008,Sports,Electronic Arts
Dance Dance Revolution Universe,X360,2007,Simulation,Konami Digital Entertainment
"Go, Diego, Go!: Great Dinosaur Rescue",PS2,2008,Action,Take-Two Interactive
Batman: Arkham Asylum,PC,2009,Action,Eidos Interactive
"Warhammer 40,000: Squad Command",PSP,2007,Strategy,THQ
Darkwatch,PS2,2005,Shooter,Ubisoft
Tony Hawk's American Wasteland,X360,2005,Sports,Activision
Beautiful Katamari,X360,2007,Puzzle,Namco Bandai Games
Ben 10 Ultimate Alien: Cosmic Destruction,DS,2010,Platform,D3Publisher
Pony Friends 2,DS,2009,Simulation,Eidos Interactive
My Baby: First Steps,DS,2009,Simulation,SouthPeak Games
Prince of Persia: The Sands of Time,GC,2003,Action,Ubisoft
Harry Potter and the Deathly Hallows - Part 2,PS3,2011,Action,Electronic Arts
Sky Odyssey,PS2,2000,Simulation,Sony Computer Entertainment
Nagano Winter Olympics 98,N64,1997,Sports,Konami Digital Entertainment
Rayman 2: The Great Escape,PS,2000,Platform,Ubisoft
Just Dance 2016,X360,2015,Misc,Ubisoft
Kirby's Block Ball,GB,1995,Puzzle,Nintendo
World of Warcraft: Legion,PC,2016,Role-Playing,Activision
Hatsune Miku: Project Diva F 2nd,PSV,2014,Misc,Sega
Bleach: Shattered Blade,Wii,2006,Fighting,Sega
FIFA Street 3,PS3,2008,Sports,Electronic Arts
Fortress,GBA,2001,Action,Majesco Entertainment
Disney Fairies: Tinker Bell and the Great Fairy Rescue,DS,2010,Adventure,Disney Interactive Studios
FIFA 2001 Major League Soccer,PS,2000,Sports,Electronic Arts
Operation Flashpoint: Red River,PS3,2011,Shooter,Codemasters
Power Rangers Samurai,Wii,2011,Action,Namco Bandai Games
Karaoke Revolution Presents American Idol Encore 2,Wii,2008,Misc,Konami Digital Entertainment
DiRT 2,PSP,2009,Racing,Sony Computer Entertainment
Rally Cross,PS,1997,Racing,Sony Computer Entertainment
Frogger's Adventures: The Rescue,PS2,2003,Platform,Konami Digital Entertainment
Silent Hill HD Collection,PS3,2012,Action,Konami Digital Entertainment
Extreme Pinball,PS,1995,Misc,Electronic Arts
Singularity,X360,N/A,Shooter,Unknown
Karaoke Revolution Volume 3,PS2,2004,Misc,Konami Digital Entertainment
Vin Diesel: Wheelman,PS3,2009,Racing,Ubisoft
Army of Two: The 40th Day,PSP,2010,Shooter,Electronic Arts
Seaman: Kindan no Pet - Gaze Hakushi no Jikken Shima,PS2,2001,Simulation,ASCII Entertainment
Street Fighter Alpha 2,SAT,1995,Fighting,Virgin Interactive
Persona 4: Dancing All Night,PSV,2015,Misc,Nippon Ichi Software
"Carnival Games: Monkey See, Monkey Do!",X360,2011,Misc,Take-Two Interactive
No.1 Muscle Ranking - Kinniku Banzuke Vol. 1: Oregasaikyouno Otokoda!,PS,1999,Sports,Konami Digital Entertainment
Cartoon Network Collection: Game Boy Advance Video Platinum Edition,GBA,2005,Misc,N/A
Ultimate Fighting Championship: Throwdown,PS2,2002,Fighting,Ubisoft
Wipeout 2,Wii,2011,Misc,Activision
SpongeBob SquarePants: Double Pack,GBA,2005,Platform,THQ
Tetris 2 + Bombliss,NES,1991,Puzzle,BPS
Disney's Extreme Skate Adventure,PS2,2003,Sports,Activision
Rock Band Country Track Pack,PS2,2009,Misc,MTV Games
Prey,X360,2006,Shooter,Take-Two Interactive
"Ed, Edd n Eddy: Jawbreakers!",GBA,2002,Adventure,BAM! Entertainment
Dragster,2600,N/A,Racing,Activision
Frankenstein's Monster,2600,1982,Action,Data Age
Shaun White Snowboarding,PSP,2008,Sports,Ubisoft
Riven: The Sequel to Myst,PS,1997,Adventure,Acclaim Entertainment
Folklore,PS3,2007,Role-Playing,Sony Computer Entertainment
Derby Stallion DS,DS,2008,Sports,Enterbrain
Murdered: Soul Suspect,PS4,2014,Action,Square Enix
The Darkness II,PS3,2012,Shooter,Take-Two Interactive
NBA 2K3,XB,2002,Sports,Sega
Dragon Quest Monsters: Battle Road Victory,Wii,2010,Strategy,Square Enix
Shin Momotarou Densetsu,SNES,1993,Role-Playing,Hudson Soft
From TV Animation One Piece: Grand Battle! 3,PS2,2003,Fighting,Namco Bandai Games
Sega Smash Pack,GBA,2002,Misc,Atari
All-Star Baseball 2005,PS2,N/A,Sports,Unknown
The Conveni: Ano Machi wo Dokusen Seyo,PS,1997,Simulation,Human Entertainment
Shin Super Robot Taisen Special Disk,PS,1997,Strategy,Banpresto
Live A Live,SNES,1994,Role-Playing,SquareSoft
NFL Fever 2004,XB,2003,Sports,Microsoft Game Studios
Madden NFL 2002,GBA,2001,Sports,Electronic Arts
Bigfoot: Collision Course,Wii,2008,Racing,Zoo Digital Publishing
FIFA Street 3,X360,2008,Sports,Electronic Arts
Cabela's Dangerous Hunts 2011,X360,2010,Sports,Activision
UEFA Euro 2008 Austria-Switzerland,PS2,2008,Sports,Electronic Arts
Test Drive Unlimited,X360,2006,Racing,Atari
Marvel Nemesis: Rise of the Imperfects,PSP,2005,Fighting,Electronic Arts
The Biggest Loser,DS,2009,Sports,THQ
Power Rangers Samurai,DS,2011,Action,Namco Bandai Games
Kingdom Under Fire: The Crusaders,XB,2004,Strategy,Deep Silver
4x4 Evolution,PS2,2001,Racing,Gathering of Developers
Clive Barker's Jericho,X360,2007,Shooter,Codemasters
Rise of the Tomb Raider,X360,2015,Adventure,Square Enix
Momotarou Dentetsu Happy,SNES,1996,Misc,Hudson Soft
Power Rangers: Time Force,PS,2001,Action,THQ
Romance of the Three Kingdoms VII,PS2,2000,Strategy,Tecmo Koei
Goosebumps HorrorLand,DS,2008,Adventure,Scholastic Inc.
Fable III,PC,2011,Role-Playing,Microsoft Game Studios
Littlest Pet Shop: City Friends,DS,2009,Simulation,Electronic Arts
"Monsters, Inc.",PS2,2002,Adventure,Sony Computer Entertainment
DJ Hero,PS2,2009,Misc,Activision
Lord of Arcana,PSP,2010,Role-Playing,Square Enix
Phineas and Ferb: Across the 2nd Dimension,PS3,2011,Action,Disney Interactive Studios
Quiz Magic Academy DS,DS,2008,Misc,Konami Digital Entertainment
Tekken 6,PSP,2009,Fighting,Namco Bandai Games
Chicken Blaster,Wii,2009,Shooter,Zushi Games
Dynasty Warriors 4 Empires,PS2,2004,Action,Tecmo Koei
Shenmue II,XB,2002,Adventure,Microsoft Game Studios
Crash of the Titans,X360,2007,Action,Vivendi Games
LEGO Marvel's Avengers,X360,2016,Action,Warner Bros. Interactive Entertainment
Skylanders SWAP Force,XOne,2013,Platform,Activision
Heart of Darkness,PS,1998,Platform,Ocean
Rugby World Cup 2011,PS3,2011,Sports,505 Games
Virtua Striker 2,DC,1999,Sports,Sega
F1 Race Stars,PS3,2012,Racing,Codemasters
Overlord II,PS3,2009,Action,Codemasters
WarCraft II: The Dark Saga,PS,1997,Strategy,Electronic Arts
Shrek the Third,PSP,2007,Action,Activision
MonHun Nikki: Poka Poka Ailu Mura G,PSP,2011,Role-Playing,Capcom
BlazBlue: Continuum Shift,X360,2010,Fighting,PQube
MLB 07: The Show,PS3,2007,Sports,Sony Computer Entertainment
Crash Nitro Kart,XB,2003,Racing,Vivendi Games
Etrian Odyssey III: The Drowned City,DS,2010,Role-Playing,Atlus
Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment
NBA ShootOut,PS,1995,Sports,Sony Computer Entertainment
Harry Potter and the Half-Blood Prince,X360,2009,Action,Electronic Arts
Jikkyou Powerful Pro Yakyuu 14,PS2,2007,Sports,Konami Digital Entertainment
Fishing Master,Wii,2007,Misc,Konami Digital Entertainment
Madden NFL 2004,GBA,2003,Sports,Electronic Arts
Ganbare Goemon: KiraKira Douchuu - Boku ga Dancer ni Natta Riyuu,SNES,1995,Platform,Konami Digital Entertainment
Jikkyou Powerful Pro Yakyuu Portable 3,PSP,2008,Sports,Konami Digital Entertainment
Mario Golf,GB,1999,Action,Nintendo
Digimon World: Dawn / Dusk,DS,2007,Role-Playing,Namco Bandai Games
Sesame Street: Elmo's Letter Adventure,PS,1998,Misc,NewKidCo
Birthday Party Bash,Wii,2009,Misc,Take-Two Interactive
NBA Inside Drive 2003,XB,2002,Sports,Microsoft Game Studios
FIFA Street,PS2,2005,Sports,Electronic Arts
Monster Lab,Wii,2008,Role-Playing,Eidos Interactive
Fate/Extra,PSP,2010,Role-Playing,Marvelous Interactive
Drakengard 3,PS3,2013,Role-Playing,Square Enix
Catherine,X360,2011,Adventure,Deep Silver
J Stars Victory Vs.,PS3,2014,Fighting,Namco Bandai Games
Jampack: Summer 2003 (RP-M),PS2,2003,Misc,Sony Computer Entertainment
Alone in the Dark: One-Eyed Jack's Revenge,PS,1996,Adventure,Infogrames
Yu-Gi-Oh! The Dawn of Destiny,XB,2004,Strategy,Konami Digital Entertainment
1001 Touch Games,DS,2011,Action,Avanquest
The Matrix: Path of Neo,XB,2005,Action,Atari
Namco Museum: Virtual Arcade,X360,2008,Misc,Atari
Bust-A-Move Universe,3DS,2011,Puzzle,Square Enix
Mortal Kombat: Shaolin Monks,XB,2005,Action,Midway Games
Batman: Arkham Origins,WiiU,2013,Action,Warner Bros. Interactive Entertainment
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014,Action,Namco Bandai Games
Shin Megami Tensei: Devil Survivor 2,DS,2011,Role-Playing,Ghostlight
Einhänder,PS,1997,Shooter,SquareSoft
Tiny Toon Adventures: The Great Beanstalk,PS,1998,Misc,Sony Computer Entertainment
Sonic Boom: Rise of Lyric,WiiU,2014,Action,Sega
Metro: Last Light,XOne,2014,Action,Deep Silver
The Settlers 7: Paths to a Kingdom,PC,2010,Strategy,Ubisoft
WipEout Pulse,PSP,2007,Racing,Sony Computer Entertainment
The Legend of Spyro: Dawn of the Dragon,X360,2008,Platform,Vivendi Games
Foto Frenzy: Spot The Diffrence,DS,2009,Puzzle,Storm City Games
Armored Core: Silent Line,PS2,2003,Simulation,Agetec
SD Gundam G Generation Wars,PS2,2009,Strategy,Namco Bandai Games
Dr. Seuss: How the Grinch Stole Christmas,DS,2007,Action,CokeM Interactive
Fuel,X360,2009,Racing,Codemasters
Panzer Dragoon II Zwei,SAT,1995,Shooter,Sega
Tropico 5,PS4,2015,Simulation,Kalypso Media
KISS Pinball,PS,2001,Action,Take-Two Interactive
Brothers In Arms: Earned in Blood,XB,2005,Shooter,Ubisoft
LEGO Legends of Chima: Laval's Journey,3DS,2013,Adventure,Warner Bros. Interactive Entertainment
2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2,GBA,2005,Action,THQ
Super Robot Taisen Complete Box,PS,1999,Strategy,Banpresto
Peppa Pig: Theme Park Fun,DS,2011,Misc,P2 Games
Skylanders: SuperChargers,PS4,2015,Action,Activision
7 Wonders II,DS,2009,Puzzle,Rondomedia
My Horse & Me,Wii,2007,Sports,Atari
Dark Void,X360,2010,Action,Capcom
Gold's Gym: Cardio Workout (Others sales),Wii,2008,Sports,Ubisoft
Goemon's Great Adventure,N64,1998,Platform,Konami Digital Entertainment
Hot Wheels Turbo Racing,N64,1999,Racing,Electronic Arts
Vigilante 8,N64,1998,Racing,Activision
Bass Hunter 64,N64,1999,Sports,Take-Two Interactive
Doubutsu no Mori,N64,2001,Simulation,Nintendo
Jikkyou Powerful Pro Yakyuu 4,N64,1997,Sports,Konami Digital Entertainment
Happy Feet,DS,2006,Action,Midway Games
Manhunt 2,PSP,2007,Action,Take-Two Interactive
Mega Man Maverick Hunter X,PSP,2005,Platform,Capcom
J-League Winning Eleven 2007: Club Championship,PS2,2007,Sports,Konami Digital Entertainment
Barbie as The Island Princess,DS,2007,Adventure,Activision
Star Wars Jedi Knight II: Jedi Outcast,XB,N/A,Shooter,Activision
Clash of the Titans,PS3,2010,Action,Namco Bandai Games
Mega Man Battle Network 2,GBA,2002,Action,Ubisoft
Major League Baseball 2K8,PS3,2008,Sports,Bethesda Softworks
Pandora's Tower,Wii,2011,Role-Playing,Nintendo
Mountain King,2600,1982,Action,CBS Electronics
Jampack Volume 12,PS2,2005,Misc,Sony Computer Entertainment
Lord of the Rings: Battle for Middle-Earth,X360,2006,Strategy,Electronic Arts
Shaun White Snowboarding,PS2,2008,Sports,Ubisoft
SimAnimals,Wii,2009,Simulation,Electronic Arts
Tiger Woods PGA Tour 06,X360,2005,Sports,Electronic Arts
Shin Megami Tensei: Devil Summoner - Soul Hackers,SAT,1997,Role-Playing,Atlus
MySims SkyHeroes,DS,2010,Action,Electronic Arts
Jonah Lomu Rugby Challenge,X360,2011,Sports,Home Entertainment Suppliers
Demolition Racer,PS,1998,Racing,Infogrames
Midway Arcade Treasures 2,XB,2004,Misc,Midway Games
Final Fantasy IV,PS,1997,Simulation,SquareSoft
The Incredible Hulk,Wii,2008,Action,Sega
NASCAR Thunder 2003,GC,2002,Racing,Electronic Arts
SD Gundam G Generation: Overworld,PSP,2012,Strategy,Namco Bandai Games
Shin Megami Tensei: Devil Summoner - Soul Hackers,3DS,2012,Role-Playing,Atlus
Mega Man Zero Collection,DS,2010,Platform,Capcom
SingStar Take That,PS3,2009,Misc,Sony Computer Entertainment
NHL FaceOff 2000,PS,1998,Sports,Sony Computer Entertainment
Pro Evolution Soccer 2013,X360,2012,Sports,Konami Digital Entertainment
Star Wars Racer Revenge,PS2,2002,Racing,LucasArts
