Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Misc,"1,15","0,40","0,00","0,15","1,70"
Sports,"0,23","0,24","0,00","1,23","1,70"
Shooter,"0,83","0,60","0,02","0,24","1,70"
Puzzle,"0,00","0,00","1,69","0,01","1,70"
Sports,"1,41","0,05","0,00","0,23","1,70"
Simulation,"0,59","0,87","0,00","0,23","1,70"
Action,"0,63","0,76","0,03","0,27","1,70"
Action,"0,68","0,82","0,00","0,19","1,70"
Sports,"1,58","0,00","0,00","0,12","1,69"
Shooter,"1,22","0,34","0,04","0,10","1,69"
Shooter,"0,72","0,65","0,04","0,28","1,69"
Misc,"0,94","0,64","0,00","0,11","1,69"
Shooter,"0,49","0,87","0,07","0,26","1,69"
Fighting,"1,37","0,28","0,03","0,02","1,69"
Fighting,"1,10","0,48","0,04","0,07","1,69"
Action,"0,87","0,66","0,08","0,08","1,69"
Role-Playing,"1,52","0,12","0,00","0,05","1,69"
Simulation,"0,79","0,65","0,08","0,17","1,69"
Action,"0,98","0,42","0,22","0,06","1,69"
Puzzle,"0,48","1,12","0,00","0,08","1,69"
Puzzle,"1,40","0,16","0,00","0,12","1,68"
Racing,"0,79","0,70","0,01","0,18","1,68"
Misc,"0,82","0,64","0,00","0,22","1,68"
Sports,"1,58","0,06","0,00","0,04","1,68"
Platform,"0,92","0,60","0,01","0,15","1,68"
Action,"0,88","0,54","0,02","0,25","1,68"
Puzzle,"0,59","0,24","0,82","0,03","1,68"
Shooter,"0,38","0,87","0,33","0,10","1,68"
Strategy,"0,98","0,52","0,00","0,17","1,68"
Role-Playing,"0,81","0,23","0,52","0,11","1,68"
Simulation,"1,67","0,00","0,00","0,00","1,68"
Action,"1,18","0,27","0,17","0,06","1,68"
Sports,"0,97","0,40","0,14","0,15","1,67"
Shooter,"0,90","0,46","0,00","0,32","1,67"
Sports,"0,93","0,52","0,00","0,22","1,67"
Sports,"1,58","0,05","0,00","0,04","1,67"
Shooter,"1,22","0,39","0,00","0,06","1,67"
Platform,"0,91","0,30","0,42","0,04","1,67"
Sports,"1,09","0,49","0,02","0,07","1,67"
Adventure,"0,59","0,95","0,03","0,10","1,67"
Racing,"0,97","0,59","0,04","0,07","1,67"
Role-Playing,"0,96","0,42","0,08","0,21","1,67"
Racing,"1,13","0,32","0,00","0,22","1,67"
Sports,"1,35","0,09","0,00","0,23","1,67"
Fighting,"0,81","0,58","0,01","0,26","1,67"
Strategy,"0,83","0,66","0,00","0,18","1,67"
Platform,"1,08","0,45","0,00","0,14","1,67"
Adventure,"0,45","0,90","0,05","0,26","1,66"
Sports,"0,45","1,02","0,00","0,20","1,66"
Fighting,"1,00","0,30","0,31","0,04","1,66"
Sports,"0,78","0,61","0,06","0,20","1,66"
Sports,"0,93","0,56","0,00","0,16","1,66"
Sports,"0,81","0,63","0,00","0,21","1,66"
Action,"1,01","0,50","0,01","0,13","1,66"
Sports,"1,25","0,15","0,03","0,22","1,66"
Action,"0,90","0,61","0,00","0,15","1,66"
Fighting,"0,96","0,12","0,54","0,04","1,66"
Role-Playing,"0,65","0,45","0,34","0,22","1,65"
Puzzle,"1,54","0,10","0,00","0,02","1,65"
Platform,"0,58","0,21","0,79","0,07","1,65"
Misc,"0,90","0,11","0,60","0,05","1,65"
Shooter,"1,06","0,38","0,15","0,05","1,65"
Action,"1,21","0,30","0,00","0,14","1,65"
Racing,"0,76","0,69","0,02","0,18","1,65"
Action,"0,57","0,72","0,06","0,29","1,65"
Role-Playing,"0,00","0,00","1,65","0,00","1,65"
Simulation,"0,90","0,54","0,04","0,17","1,65"
Platform,"0,80","0,05","0,76","0,03","1,64"
Shooter,"1,09","0,37","0,02","0,16","1,64"
Puzzle,"1,52","0,10","0,00","0,02","1,64"
Shooter,"0,93","0,63","0,00","0,08","1,64"
Action,"0,74","0,26","0,61","0,03","1,64"
Sports,"0,80","0,63","0,00","0,21","1,64"
Sports,"1,44","0,15","0,00","0,05","1,64"
Action,"0,54","0,88","0,00","0,22","1,64"
Shooter,"0,80","0,69","0,01","0,14","1,63"
Sports,"1,54","0,02","0,00","0,07","1,63"
Adventure,"0,52","0,80","0,06","0,26","1,63"
Strategy,"0,78","0,25","0,56","0,04","1,63"
Sports,"1,18","0,34","0,00","0,10","1,63"
Sports,"1,35","0,11","0,00","0,17","1,63"
Shooter,"0,58","0,81","0,00","0,23","1,63"
Platform,"0,71","0,48","0,32","0,11","1,63"
Sports,"1,32","0,09","0,00","0,22","1,62"
Shooter,"0,86","0,62","0,01","0,13","1,62"
Simulation,"0,45","0,95","0,02","0,20","1,62"
Sports,"0,80","0,63","0,01","0,19","1,62"
Simulation,"1,02","0,46","0,00","0,13","1,62"
Racing,"1,01","0,11","0,45","0,04","1,62"
Action,"0,59","0,76","0,01","0,26","1,62"
Racing,"0,90","0,61","0,00","0,11","1,62"
Shooter,"0,68","0,56","0,12","0,25","1,62"
Misc,"0,99","0,41","0,00","0,22","1,62"
Role-Playing,"0,30","0,02","1,27","0,03","1,62"
Sports,"0,79","0,62","0,00","0,21","1,61"
Sports,"0,66","0,27","0,65","0,03","1,61"
Strategy,"0,00","0,00","1,61","0,01","1,61"
Sports,"0,98","0,38","0,20","0,04","1,61"
Misc,"0,00","1,18","0,00","0,43","1,61"
Shooter,"0,82","0,60","0,03","0,15","1,60"
Sports,"0,98","0,04","0,49","0,09","1,60"
Action,"1,49","0,00","0,00","0,11","1,60"
Action,"1,30","0,23","0,00","0,07","1,60"
Racing,"0,46","0,96","0,09","0,08","1,60"
Shooter,"1,49","0,09","0,00","0,02","1,60"
Action,"0,59","0,83","0,02","0,17","1,60"
Action,"0,71","0,48","0,30","0,10","1,60"
Platform,"1,05","0,44","0,06","0,04","1,60"
Action,"1,05","0,41","0,00","0,14","1,60"
Sports,"1,26","0,12","0,00","0,21","1,59"
Role-Playing,"0,01","1,58","0,00","0,00","1,59"
Action,"0,71","0,69","0,02","0,18","1,59"
Action,"1,15","0,36","0,04","0,04","1,59"
Fighting,"0,61","0,41","0,46","0,10","1,59"
Platform,"1,48","0,09","0,00","0,02","1,59"
Sports,"0,04","1,10","0,32","0,13","1,59"
Racing,"0,88","0,60","0,00","0,10","1,59"
Role-Playing,"0,78","0,37","0,30","0,13","1,58"
Action,"0,88","0,26","0,34","0,10","1,58"
Simulation,"0,94","0,48","0,01","0,15","1,58"
Fighting,"0,92","0,43","0,07","0,15","1,58"
Misc,"0,88","0,60","0,00","0,10","1,58"
Platform,"0,60","0,69","0,02","0,26","1,58"
Platform,"0,85","0,65","0,00","0,08","1,58"
Misc,"0,69","0,53","0,24","0,12","1,58"
Action,"0,58","0,45","0,34","0,20","1,57"
Action,"1,06","0,35","0,01","0,15","1,57"
Sports,"0,10","0,18","0,12","1,16","1,57"
Sports,"0,77","0,60","0,00","0,20","1,57"
Shooter,"0,92","0,50","0,03","0,12","1,57"
Action,"0,90","0,53","0,00","0,14","1,57"
Misc,"0,84","0,57","0,00","0,16","1,57"
Sports,"0,57","0,88","0,00","0,12","1,57"
Sports,"1,31","0,09","0,00","0,16","1,57"
Shooter,"0,98","0,53","0,00","0,06","1,57"
Misc,"0,95","0,11","0,46","0,04","1,57"
Role-Playing,"0,17","0,02","1,36","0,02","1,57"
Misc,"0,63","0,76","0,00","0,17","1,56"
Racing,"0,77","0,60","0,00","0,20","1,56"
Fighting,"1,07","0,40","0,00","0,10","1,56"
Racing,"0,62","0,78","0,01","0,15","1,56"
Sports,"0,86","0,54","0,00","0,15","1,56"
Platform,"0,59","0,14","0,81","0,02","1,56"
Action,"1,05","0,36","0,00","0,15","1,56"
Action,"1,32","0,19","0,00","0,05","1,56"
Action,"0,67","0,17","0,69","0,03","1,56"
Role-Playing,"0,57","0,43","0,44","0,12","1,56"
Role-Playing,"0,00","0,00","1,56","0,00","1,56"
Misc,"0,68","0,38","0,44","0,05","1,56"
Simulation,"0,80","0,59","0,01","0,16","1,55"
Action,"0,73","0,67","0,00","0,15","1,55"
Racing,"0,76","0,59","0,00","0,20","1,55"
Shooter,"0,91","0,57","0,00","0,07","1,55"
Action,"0,95","0,46","0,00","0,14","1,55"
Action,"1,13","0,38","0,02","0,03","1,55"
Action,"0,57","0,87","0,02","0,09","1,55"
Misc,"0,92","0,48","0,00","0,15","1,55"
Strategy,"1,55","0,00","0,00","0,00","1,55"
Shooter,"0,47","0,80","0,03","0,24","1,55"
Action,"0,85","0,55","0,00","0,15","1,55"
Misc,"0,37","0,96","0,00","0,21","1,54"
Shooter,"0,85","0,46","0,02","0,22","1,54"
Role-Playing,"0,83","0,44","0,08","0,19","1,54"
Strategy,"0,58","0,87","0,00","0,09","1,54"
Sports,"0,78","0,43","0,19","0,14","1,54"
Shooter,"1,40","0,02","0,02","0,10","1,54"
Platform,"0,50","0,76","0,04","0,24","1,54"
Sports,"1,26","0,07","0,00","0,21","1,54"
Shooter,"0,85","0,58","0,00","0,10","1,54"
Shooter,"0,53","0,66","0,13","0,22","1,53"
Misc,"0,42","0,65","0,33","0,14","1,53"
Sports,"0,18","0,63","0,49","0,24","1,53"
Fighting,"1,19","0,29","0,00","0,05","1,53"
Sports,"1,44","0,05","0,00","0,04","1,53"
Action,"0,72","0,52","0,04","0,25","1,53"
Sports,"1,09","0,15","0,25","0,04","1,53"
Sports,"0,85","0,58","0,00","0,10","1,53"
Shooter,"0,64","0,69","0,00","0,19","1,53"
Action,"0,67","0,43","0,29","0,14","1,52"
Fighting,"1,07","0,39","0,00","0,06","1,52"
Sports,"0,36","0,90","0,00","0,27","1,52"
Platform,"0,70","0,55","0,16","0,12","1,52"
Racing,"1,43","0,05","0,00","0,04","1,52"
Shooter,"0,18","0,06","1,27","0,01","1,52"
Racing,"0,00","0,00","1,52","0,00","1,52"
Racing,"1,45","0,04","0,00","0,04","1,52"
Role-Playing,"0,88","0,48","0,00","0,17","1,52"
Sports,"1,43","0,05","0,00","0,03","1,52"
Fighting,"0,92","0,40","0,00","0,20","1,52"
Puzzle,"1,11","0,31","0,06","0,04","1,52"
Action,"1,26","0,05","0,00","0,21","1,51"
Adventure,"0,85","0,51","0,01","0,15","1,51"
Simulation,"0,70","0,64","0,01","0,16","1,51"
Shooter,"0,94","0,44","0,00","0,13","1,51"
Role-Playing,"0,00","0,00","1,51","0,00","1,51"
Shooter,"0,94","0,43","0,00","0,14","1,51"
Action,"0,93","0,15","0,42","0,01","1,51"
Fighting,"0,23","1,16","0,00","0,11","1,51"
Sports,"1,41","0,06","0,00","0,04","1,51"
Action,"0,35","0,03","0,00","1,13","1,51"
Misc,"1,18","0,27","0,00","0,05","1,51"
Action,"0,56","0,77","0,00","0,17","1,51"
Sports,"0,02","1,16","0,00","0,33","1,51"
Role-Playing,"0,60","0,47","0,21","0,23","1,51"
Fighting,"0,99","0,32","0,11","0,08","1,50"
Shooter,"0,60","0,62","0,03","0,26","1,50"
Racing,"0,66","0,52","0,15","0,17","1,50"
Sports,"1,41","0,05","0,00","0,04","1,50"
Shooter,"0,49","0,78","0,00","0,23","1,50"
Sports,"1,19","0,07","0,05","0,20","1,50"
Platform,"0,00","0,00","1,50","0,00","1,50"
Fighting,"1,20","0,27","0,02","0,02","1,50"
Platform,"0,46","0,10","0,92","0,02","1,50"
Platform,"1,00","0,36","0,09","0,05","1,50"
Action,"0,80","0,49","0,00","0,21","1,50"
Action,"1,21","0,14","0,10","0,04","1,50"
Misc,"1,13","0,20","0,00","0,16","1,49"
Role-Playing,"0,72","0,38","0,36","0,04","1,49"
Shooter,"1,00","0,43","0,00","0,06","1,49"
Sports,"1,22","0,00","0,00","0,27","1,49"
Action,"0,75","0,52","0,09","0,12","1,49"
Platform,"0,82","0,36","0,25","0,06","1,49"
Misc,"0,00","1,10","0,00","0,39","1,49"
Action,"0,50","0,69","0,04","0,26","1,49"
Action,"0,88","0,47","0,00","0,14","1,49"
Shooter,"0,54","0,69","0,02","0,24","1,49"
Shooter,"0,47","0,37","0,52","0,12","1,48"
Fighting,"1,20","0,25","0,02","0,02","1,48"
Platform,"0,70","0,35","0,39","0,04","1,48"
Sports,"0,28","0,50","0,65","0,05","1,48"
Racing,"0,44","0,67","0,00","0,37","1,48"
Adventure,"0,43","0,88","0,00","0,18","1,48"
Shooter,"0,64","0,57","0,05","0,22","1,48"
Adventure,"0,99","0,35","0,00","0,13","1,48"
Misc,"1,07","0,28","0,00","0,13","1,48"
Action,"0,82","0,51","0,01","0,14","1,48"
Sports,"0,72","0,56","0,00","0,19","1,48"
Fighting,"1,08","0,20","0,00","0,20","1,48"
Action,"0,84","0,51","0,00","0,13","1,48"
Action,"0,82","0,59","0,00","0,07","1,48"
Platform,"0,52","0,77","0,07","0,11","1,47"
Simulation,"0,39","0,91","0,00","0,17","1,47"
Platform,"1,04","0,37","0,00","0,06","1,47"
Action,"0,62","0,18","0,65","0,02","1,47"
Action,"0,71","0,43","0,07","0,26","1,47"
Shooter,"0,93","0,40","0,02","0,12","1,47"
Fighting,"1,33","0,03","0,01","0,10","1,47"
Role-Playing,"0,29","0,19","0,89","0,10","1,46"
Platform,"1,02","0,38","0,00","0,06","1,46"
Puzzle,"1,06","0,29","0,00","0,11","1,46"
Misc,"0,72","0,56","0,00","0,19","1,46"
Sports,"0,81","0,55","0,00","0,10","1,46"
Role-Playing,"0,06","0,09","1,30","0,01","1,46"
Puzzle,"0,95","0,37","0,10","0,04","1,46"
Fighting,"0,72","0,40","0,14","0,20","1,46"
Platform,"1,36","0,08","0,00","0,02","1,46"
Fighting,"0,81","0,55","0,00","0,10","1,46"
Sports,"0,35","0,69","0,28","0,14","1,46"
Sports,"0,93","0,24","0,25","0,04","1,46"
Platform,"0,46","0,82","0,00","0,17","1,46"
Fighting,"1,17","0,20","0,04","0,05","1,46"
Shooter,"0,81","0,46","0,04","0,15","1,46"
Shooter,"0,83","0,48","0,02","0,12","1,45"
Action,"0,37","0,47","0,54","0,07","1,45"
Sports,"1,08","0,11","0,00","0,27","1,45"
Shooter,"0,71","0,55","0,00","0,19","1,45"
Action,"0,54","0,35","0,46","0,10","1,45"
Simulation,"0,00","0,00","1,44","0,01","1,45"
Misc,"0,00","0,00","1,45","0,00","1,45"
Fighting,"0,00","0,00","1,45","0,00","1,45"
Simulation,"0,00","0,00","1,44","0,01","1,45"
Misc,"1,24","0,17","0,03","0,01","1,45"
Role-Playing,"0,78","0,45","0,03","0,19","1,45"
Strategy,"1,02","0,32","0,00","0,11","1,45"
Sports,"1,38","0,05","0,00","0,02","1,45"
Sports,"0,89","0,31","0,01","0,23","1,45"
Shooter,"0,77","0,49","0,03","0,15","1,44"
Misc,"0,04","1,08","0,00","0,32","1,44"
Platform,"0,26","0,07","1,09","0,02","1,44"
Racing,"0,61","0,68","0,00","0,15","1,44"
Action,"0,97","0,34","0,00","0,13","1,44"
Misc,"0,37","0,89","0,00","0,18","1,44"
Sports,"1,03","0,32","0,00","0,09","1,44"
Sports,"1,16","0,08","0,00","0,19","1,44"
Action,"0,95","0,37","0,00","0,11","1,43"
Action,"0,80","0,54","0,00","0,09","1,43"
Fighting,"0,92","0,38","0,00","0,13","1,43"
Racing,"0,92","0,39","0,00","0,12","1,43"
Misc,"0,52","0,75","0,00","0,16","1,43"
Fighting,"0,53","0,57","0,00","0,34","1,43"
Platform,"0,82","0,23","0,35","0,03","1,43"
Adventure,"1,12","0,19","0,00","0,11","1,43"
Platform,"0,00","0,00","1,39","0,03","1,43"
Sports,"0,79","0,54","0,00","0,09","1,43"
Strategy,"0,00","1,13","0,00","0,29","1,43"
Puzzle,"0,96","0,33","0,00","0,13","1,43"
Racing,"0,73","0,42","0,00","0,27","1,42"
Shooter,"0,75","0,46","0,01","0,20","1,42"
Role-Playing,"0,63","0,56","0,03","0,20","1,42"
Sports,"0,70","0,54","0,00","0,18","1,42"
Sports,"1,35","0,05","0,00","0,02","1,42"
Simulation,"0,48","0,77","0,00","0,17","1,42"
Action,"0,89","0,22","0,22","0,10","1,42"
Sports,"1,15","0,08","0,00","0,19","1,42"
Action,"0,57","0,12","0,71","0,02","1,42"
Sports,"0,12","0,00","1,30","0,00","1,42"
Shooter,"0,73","0,48","0,00","0,21","1,42"
Sports,"0,80","0,47","0,00","0,14","1,42"
Action,"0,45","0,37","0,44","0,16","1,42"
Action,"0,63","0,38","0,35","0,05","1,42"
Misc,"1,22","0,06","0,02","0,11","1,42"
Role-Playing,"0,09","0,07","1,24","0,02","1,41"
Fighting,"0,80","0,40","0,02","0,18","1,41"
Action,"1,09","0,28","0,00","0,04","1,41"
Action,"0,48","0,62","0,06","0,26","1,41"
Platform,"0,97","0,37","0,03","0,05","1,41"
Misc,"0,85","0,43","0,00","0,13","1,41"
Misc,"0,78","0,51","0,00","0,12","1,41"
Simulation,"0,57","0,69","0,00","0,14","1,41"
Fighting,"1,02","0,34","0,00","0,05","1,41"
Racing,"0,00","0,47","0,77","0,17","1,41"
Role-Playing,"0,90","0,39","0,00","0,12","1,41"
Racing,"1,19","0,17","0,00","0,05","1,41"
Racing,"0,69","0,54","0,00","0,18","1,41"
Fighting,"0,95","0,33","0,00","0,13","1,40"
Action,"1,07","0,28","0,00","0,05","1,40"
Action,"0,58","0,50","0,00","0,32","1,40"
Action,"0,89","0,39","0,00","0,13","1,40"
Racing,"0,38","0,08","0,03","0,93","1,40"
Sports,"1,15","0,20","0,00","0,05","1,40"
Action,"0,90","0,38","0,00","0,12","1,40"
Racing,"0,36","0,44","0,32","0,27","1,40"
Platform,"0,74","0,52","0,08","0,06","1,40"
Role-Playing,"0,00","0,00","1,39","0,01","1,40"
Action,"0,47","0,65","0,06","0,22","1,40"
Racing,"0,03","1,05","0,02","0,30","1,40"
Racing,"0,50","0,78","0,01","0,11","1,40"
Sports,"0,78","0,53","0,00","0,09","1,39"
Role-Playing,"0,00","0,19","1,18","0,03","1,39"
Sports,"1,19","0,16","0,00","0,03","1,39"
Action,"1,05","0,17","0,15","0,02","1,39"
Action,"0,24","0,18","0,91","0,06","1,39"
Action,"0,87","0,38","0,00","0,13","1,39"
Fighting,"0,97","0,30","0,00","0,11","1,38"
Action,"0,43","0,69","0,01","0,26","1,38"
Platform,"0,48","0,53","0,28","0,09","1,38"
Action,"0,90","0,37","0,00","0,11","1,38"
Action,"0,96","0,37","0,00","0,05","1,38"
Action,"0,63","0,62","0,00","0,14","1,38"
Role-Playing,"0,50","0,32","0,49","0,08","1,38"
Action,"0,83","0,43","0,00","0,13","1,38"
Fighting,"1,03","0,21","0,00","0,14","1,38"
Role-Playing,"0,58","0,18","0,59","0,02","1,38"
Adventure,"0,55","0,70","0,02","0,11","1,38"
Shooter,"0,77","0,54","0,00","0,07","1,38"
Platform,"0,71","0,53","0,00","0,13","1,38"
Sports,"0,67","0,53","0,00","0,18","1,38"
Action,"1,26","0,02","0,00","0,10","1,38"
Action,"0,60","0,01","0,00","0,76","1,37"
Shooter,"0,76","0,47","0,02","0,12","1,37"
Misc,"0,76","0,52","0,00","0,09","1,37"
Role-Playing,"0,33","0,41","0,54","0,10","1,37"
Shooter,"0,80","0,45","0,00","0,12","1,37"
Shooter,"0,50","0,59","0,07","0,22","1,37"
Role-Playing,"0,99","0,33","0,00","0,05","1,37"
Strategy,"0,00","0,00","1,37","0,00","1,37"
Simulation,"0,49","0,55","0,00","0,33","1,37"
Action,"0,43","0,56","0,15","0,21","1,36"
Racing,"0,24","0,70","0,16","0,26","1,36"
Shooter,"0,86","0,45","0,00","0,06","1,36"
Action,"0,63","0,57","0,00","0,15","1,36"
Platform,"0,63","0,66","0,00","0,07","1,36"
Shooter,"0,87","0,34","0,02","0,13","1,36"
Misc,"0,23","0,04","0,00","1,09","1,36"
Shooter,"0,27","0,08","1,00","0,01","1,36"
Role-Playing,"0,00","0,00","1,36","0,00","1,36"
Shooter,"1,26","0,08","0,00","0,01","1,36"
Shooter,"0,67","0,52","0,00","0,17","1,36"
Action,"0,51","0,60","0,00","0,25","1,35"
Simulation,"0,00","0,00","1,26","0,09","1,35"
Misc,"0,70","0,52","0,00","0,13","1,35"
Sports,"1,29","0,03","0,00","0,03","1,35"
Puzzle,"0,79","0,42","0,01","0,13","1,35"
Racing,"0,63","0,57","0,01","0,14","1,35"
Action,"0,73","0,50","0,01","0,12","1,35"
Racing,"0,43","0,65","0,02","0,25","1,35"
Action,"0,22","0,05","1,06","0,02","1,35"
Shooter,"0,39","0,87","0,00","0,10","1,35"
Racing,"0,70","0,58","0,00","0,07","1,35"
Shooter,"0,78","0,44","0,00","0,12","1,35"
Role-Playing,"0,15","0,04","1,07","0,09","1,35"
Misc,"0,00","1,04","0,00","0,31","1,35"
Sports,"0,20","0,76","0,00","0,39","1,35"
Sports,"0,23","0,73","0,02","0,37","1,35"
Adventure,"1,22","0,03","0,00","0,09","1,35"
Sports,"0,31","0,89","0,01","0,14","1,35"
Racing,"0,95","0,21","0,01","0,18","1,34"
Action,"0,79","0,34","0,08","0,13","1,34"
Shooter,"0,66","0,44","0,04","0,21","1,34"
Action,"0,85","0,27","0,13","0,10","1,34"
Action,"0,71","0,49","0,02","0,12","1,34"
Role-Playing,"0,61","0,16","0,49","0,08","1,34"
Fighting,"0,81","0,28","0,11","0,14","1,34"
Fighting,"1,03","0,27","0,00","0,04","1,34"
Shooter,"0,85","0,43","0,00","0,06","1,34"
Shooter,"0,77","0,45","0,00","0,12","1,34"
Racing,"0,25","0,75","0,08","0,26","1,34"
Role-Playing,"0,24","0,03","1,03","0,04","1,34"
Platform,"0,84","0,22","0,24","0,04","1,34"
Racing,"1,22","0,05","0,05","0,01","1,34"
Shooter,"1,09","0,04","0,10","0,10","1,34"
Strategy,"1,32","0,02","0,00","0,00","1,34"
Sports,"0,87","0,21","0,02","0,24","1,34"
Shooter,"0,65","0,51","0,00","0,17","1,34"
Shooter,"0,76","0,35","0,05","0,18","1,34"
Sports,"1,10","0,06","0,00","0,18","1,34"
Action,"0,00","0,00","1,33","0,00","1,33"
Platform,"1,27","0,05","0,00","0,02","1,33"
Action,"0,66","0,50","0,05","0,13","1,33"
Action,"0,92","0,35","0,01","0,05","1,33"
Fighting,"1,08","0,24","0,00","0,02","1,33"
Sports,"0,90","0,38","0,01","0,05","1,33"
Simulation,"0,93","0,35","0,00","0,06","1,33"
Sports,"0,74","0,50","0,00","0,09","1,33"
Shooter,"0,87","0,35","0,07","0,04","1,33"
Role-Playing,"0,48","0,59","0,04","0,21","1,33"
Racing,"0,65","0,51","0,00","0,17","1,33"
Fighting,"0,62","0,49","0,01","0,20","1,33"
Platform,"0,86","0,34","0,00","0,12","1,32"
Action,"0,58","0,56","0,05","0,14","1,32"
Fighting,"0,90","0,31","0,00","0,11","1,32"
Role-Playing,"0,01","0,13","0,00","1,18","1,32"
Puzzle,"0,73","0,16","0,40","0,03","1,32"
Racing,"0,03","1,16","0,02","0,11","1,32"
Sports,"1,06","0,08","0,00","0,18","1,32"
Action,"0,53","0,48","0,06","0,24","1,32"
Fighting,"0,73","0,50","0,00","0,09","1,32"
Simulation,"0,71","0,48","0,00","0,13","1,32"
Role-Playing,"0,31","0,04","0,96","0,01","1,32"
Sports,"0,79","0,41","0,00","0,11","1,32"
Racing,"0,69","0,37","0,02","0,24","1,32"
Sports,"0,73","0,50","0,00","0,09","1,32"
Adventure,"0,67","0,34","0,13","0,17","1,31"
Racing,"0,73","0,50","0,00","0,09","1,31"
Shooter,"0,77","0,29","0,09","0,16","1,31"
Racing,"0,64","0,50","0,00","0,17","1,31"
Shooter,"0,47","0,58","0,06","0,20","1,31"
Action,"0,55","0,55","0,00","0,21","1,31"
Platform,"0,78","0,45","0,00","0,07","1,31"
Role-Playing,"0,69","0,50","0,00","0,11","1,31"
Adventure,"0,57","0,67","0,00","0,07","1,31"
Platform,"1,22","0,07","0,00","0,02","1,31"
Shooter,"0,64","0,50","0,00","0,17","1,31"
Action,"0,84","0,35","0,00","0,12","1,31"
Racing,"0,84","0,43","0,00","0,04","1,31"
Misc,"0,97","0,23","0,00","0,11","1,30"
Adventure,"1,21","0,08","0,00","0,01","1,30"
Role-Playing,"0,94","0,35","0,00","0,02","1,30"
Sports,"1,07","0,04","0,02","0,17","1,30"
Platform,"0,62","0,47","0,11","0,10","1,30"
Action,"0,75","0,44","0,00","0,11","1,30"
Misc,"0,27","0,02","0,00","1,02","1,30"
Role-Playing,"0,00","0,00","1,29","0,01","1,30"
Racing,"1,05","0,20","0,00","0,05","1,30"
Fighting,"0,71","0,41","0,05","0,12","1,30"
Action,"0,62","0,56","0,00","0,11","1,30"
Role-Playing,"0,56","0,38","0,28","0,08","1,30"
Shooter,"0,34","0,68","0,08","0,19","1,29"
Role-Playing,"0,50","0,16","0,58","0,05","1,29"
Action,"0,72","0,39","0,00","0,19","1,29"
Role-Playing,"0,39","0,02","0,85","0,03","1,29"
Action,"0,54","0,27","0,45","0,04","1,29"
Misc,"0,67","0,49","0,00","0,13","1,29"
Action,"0,46","0,56","0,06","0,21","1,29"
Platform,"0,93","0,34","0,00","0,02","1,29"
Role-Playing,"0,74","0,05","0,43","0,07","1,29"
Misc,"1,13","0,01","0,06","0,09","1,29"
Misc,"1,20","0,00","0,00","0,09","1,29"
Shooter,"0,63","0,49","0,00","0,16","1,29"
Action,"0,86","0,30","0,01","0,12","1,29"
Role-Playing,"0,51","0,67","0,00","0,10","1,29"
Platform,"0,69","0,47","0,01","0,12","1,29"
Action,"0,46","0,56","0,06","0,20","1,29"
Sports,"0,68","0,47","0,00","0,13","1,29"
Racing,"1,22","0,05","0,00","0,01","1,29"
Sports,"1,10","0,03","0,06","0,09","1,28"
Role-Playing,"0,78","0,38","0,00","0,12","1,28"
Role-Playing,"0,63","0,49","0,00","0,16","1,28"
Action,"0,57","0,44","0,00","0,27","1,28"
Misc,"0,00","0,00","1,28","0,00","1,28"
Action,"1,10","0,14","0,00","0,04","1,28"
Simulation,"0,55","0,59","0,00","0,14","1,28"
Racing,"1,07","0,16","0,00","0,04","1,28"
Action,"0,63","0,49","0,00","0,16","1,28"
Racing,"0,45","0,66","0,02","0,15","1,28"
Action,"0,62","0,49","0,00","0,16","1,28"
Platform,"0,58","0,40","0,21","0,08","1,27"
Misc,"1,03","0,14","0,00","0,10","1,27"
Action,"0,69","0,47","0,00","0,11","1,27"
Simulation,"1,22","0,05","0,00","0,00","1,27"
Role-Playing,"0,40","0,33","0,40","0,15","1,27"
Action,"0,48","0,35","0,36","0,07","1,27"
Role-Playing,"0,44","0,29","0,47","0,07","1,27"
Action,"0,72","0,03","0,00","0,52","1,27"
Racing,"0,71","0,48","0,00","0,08","1,27"
Shooter,"1,18","0,08","0,00","0,01","1,27"
Sports,"1,00","0,16","0,00","0,11","1,27"
Sports,"0,85","0,37","0,00","0,05","1,27"
Shooter,"0,68","0,16","0,41","0,02","1,27"
Action,"0,45","0,47","0,17","0,18","1,27"
Adventure,"0,75","0,39","0,00","0,12","1,27"
Role-Playing,"0,49","0,38","0,26","0,13","1,27"
Sports,"0,96","0,20","0,00","0,11","1,27"
Role-Playing,"0,71","0,19","0,24","0,13","1,27"
Fighting,"0,74","0,40","0,00","0,12","1,27"
Platform,"0,87","0,30","0,06","0,03","1,27"
Action,"0,62","0,48","0,00","0,16","1,27"
Fighting,"0,39","0,26","0,53","0,08","1,27"
Action,"0,72","0,44","0,00","0,11","1,27"
Role-Playing,"0,43","0,36","0,32","0,16","1,27"
Racing,"0,33","0,69","0,05","0,19","1,27"
Sports,"0,76","0,39","0,00","0,11","1,26"
Sports,"0,39","0,72","0,00","0,15","1,26"
Puzzle,"0,05","0,03","1,10","0,08","1,26"
Sports,"0,00","1,01","0,00","0,25","1,26"
Sports,"0,02","1,13","0,01","0,10","1,26"
Sports,"0,00","1,15","0,00","0,11","1,26"
Misc,"0,99","0,22","0,00","0,04","1,26"
